feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,label
0.0,0.0,0.0,-0.22405578,-0.20850998,-0.016144717,-0.33028096,-0.486871,-0.019591456,-0.35576612,-0.7552771,-0.03895364,-0.4376152,-0.8978911,-0.047795914,-0.21958801,-0.6718993,0.0472601,-0.20112438,-0.90888435,-0.055615883,-0.20493963,-0.71573436,-0.122784056,-0.21324003,-0.5537461,-0.1516364,-0.07409462,-0.64543223,0.016886089,-0.06420494,-0.9158505,-0.10743967,-0.10108922,-0.6564846,-0.16007048,-0.11485012,-0.4748138,-0.16745956,0.051328458,-0.5924227,-0.02730978,0.06274421,-0.8477492,-0.15331511,0.002668361,-0.58124375,-0.14730625,-0.02466701,-0.402414,-0.107402995,0.17517525,-0.5153717,-0.072429575,0.16899364,-0.69498545,-0.15729396,0.10329512,-0.5258194,-0.1473736,0.06443416,-0.3921967,-0.11636787,A
0.0,0.0,0.0,-0.2261736,-0.21494316,-0.017508764,-0.3324007,-0.49079135,-0.022849353,-0.36382616,-0.74952596,-0.044483192,-0.442619,-0.89495224,-0.056115743,-0.21511881,-0.67176896,0.04320206,-0.20233156,-0.90463877,-0.06428788,-0.21055885,-0.71186465,-0.13725005,-0.2172804,-0.5491156,-0.16940275,-0.070688,-0.6436474,0.011829941,-0.06418023,-0.9147385,-0.11666956,-0.10857848,-0.6545234,-0.17317466,-0.1233859,-0.46874547,-0.18305682,0.055992797,-0.5904272,-0.03375607,0.06325121,-0.847556,-0.16263269,-0.005418564,-0.5813725,-0.15915622,-0.032340363,-0.39918438,-0.120661415,0.18052846,-0.51479375,-0.08043189,0.16573691,-0.69212705,-0.16587725,0.09859802,-0.52400833,-0.15587004,0.06416398,-0.39066982,-0.12518744,A
0.0,0.0,0.0,-0.22884429,-0.20184948,-0.020375473,-0.3454241,-0.47555962,-0.024541128,-0.37662575,-0.7446058,-0.043560997,-0.45709532,-0.8878915,-0.052084163,-0.2252509,-0.6695303,0.0397598,-0.20665036,-0.9037687,-0.061611842,-0.21367818,-0.7042907,-0.12705141,-0.21970907,-0.54064506,-0.1548083,-0.078783885,-0.64466083,0.0112468805,-0.067410275,-0.91556853,-0.10952793,-0.11055513,-0.6580308,-0.15928629,-0.124631345,-0.47594824,-0.1659478,0.048013266,-0.59038186,-0.031171024,0.0597756,-0.844434,-0.1547006,-0.0036432585,-0.5793595,-0.14732186,-0.028046278,-0.4005719,-0.10782326,0.17337994,-0.51119924,-0.07505947,0.16490805,-0.6860449,-0.1592083,0.098565735,-0.51717067,-0.14850073,0.06333735,-0.38309094,-0.1175031,A
0.0,0.0,0.0,-0.22977741,-0.18843915,-0.043561563,-0.35863817,-0.4522387,-0.05940941,-0.3839364,-0.7178598,-0.084968336,-0.45467636,-0.8850576,-0.099711694,-0.23211032,-0.68081003,0.017506095,-0.2247211,-0.90486,-0.0960187,-0.22607252,-0.707319,-0.16684742,-0.23383395,-0.53530514,-0.19551948,-0.088386945,-0.65994424,-0.003244464,-0.08805445,-0.9130967,-0.13789931,-0.121576466,-0.6563065,-0.19246921,-0.14025643,-0.46619865,-0.19892487,0.03970585,-0.6117236,-0.0404506,0.041483957,-0.8481115,-0.17853253,-0.014558232,-0.5795197,-0.17483526,-0.04525879,-0.3917081,-0.13367376,0.17149563,-0.5368825,-0.08052021,0.15814999,-0.7074799,-0.17745137,0.09801294,-0.5333722,-0.17034787,0.06120675,-0.39479327,-0.13851283,A
0.0,0.0,0.0,-0.23326088,-0.19238193,-0.03898572,-0.36439312,-0.45423436,-0.051987555,-0.39297083,-0.71738285,-0.07582212,-0.46373817,-0.88152987,-0.08861126,-0.23725075,-0.6779467,0.020616438,-0.23083623,-0.9093996,-0.092710055,-0.23544319,-0.70850044,-0.16325122,-0.246796,-0.5377365,-0.19156933,-0.08916863,-0.6599771,-0.0017541909,-0.08742224,-0.9211218,-0.13734826,-0.124156356,-0.6558797,-0.19047713,-0.1441965,-0.4648481,-0.1953671,0.04141215,-0.61500835,-0.040226154,0.04045139,-0.8514998,-0.17836231,-0.016491925,-0.5777741,-0.1718679,-0.04554082,-0.38998467,-0.12808263,0.17349696,-0.54425824,-0.08123547,0.15281157,-0.7190994,-0.17541143,0.095096864,-0.541806,-0.16437347,0.06343949,-0.40175754,-0.12953955,A
0.0,0.0,0.0,-0.23398964,-0.1933019,-0.03194177,-0.36217818,-0.4544865,-0.041018512,-0.39526632,-0.71345806,-0.06347824,-0.46366608,-0.8827347,-0.076112784,-0.23804303,-0.6783129,0.041277796,-0.24131425,-0.9086765,-0.07518441,-0.24105123,-0.71718884,-0.15392037,-0.24652016,-0.53944457,-0.18707485,-0.09599905,-0.66056794,0.015647573,-0.101460055,-0.9276098,-0.12213296,-0.12886585,-0.66951287,-0.18422762,-0.14311041,-0.47165027,-0.19461378,0.03163897,-0.6170007,-0.027041642,0.026567604,-0.86782676,-0.1668508,-0.024070244,-0.59752464,-0.16924693,-0.051226866,-0.4023002,-0.13096271,0.1620259,-0.5458197,-0.07188135,0.14308104,-0.7219542,-0.16903366,0.088182665,-0.54464465,-0.16501792,0.053830918,-0.39960906,-0.13516787,A
0.0,0.0,0.0,-0.23690565,-0.18264535,-0.03413082,-0.37307957,-0.4458083,-0.044673663,-0.40108317,-0.71363544,-0.06708404,-0.4701015,-0.879058,-0.079131424,-0.24643141,-0.6722158,0.027177645,-0.24539742,-0.9118379,-0.0858921,-0.24746406,-0.7131498,-0.15797576,-0.25404492,-0.5366935,-0.18717027,-0.097921364,-0.65551317,0.002853717,-0.10265915,-0.92688715,-0.13231896,-0.13184376,-0.65902585,-0.18690844,-0.14369823,-0.45994988,-0.19229883,0.03234592,-0.61125284,-0.03725663,0.025740894,-0.86193764,-0.17441519,-0.026114509,-0.58692575,-0.16893724,-0.051258884,-0.39443472,-0.12597561,0.16408382,-0.5388172,-0.07948795,0.13992308,-0.71842563,-0.17472488,0.08363165,-0.53727293,-0.16503616,0.052929398,-0.39183292,-0.13125259,A
0.0,0.0,0.0,-0.23792797,-0.18821464,-0.03184072,-0.37103713,-0.44755825,-0.04159339,-0.40166587,-0.71044505,-0.064312615,-0.46926117,-0.8796899,-0.07706934,-0.24834122,-0.68045837,0.038193922,-0.24713275,-0.9069078,-0.07539009,-0.24541566,-0.7144038,-0.15112236,-0.2538871,-0.5394382,-0.18324265,-0.10196267,-0.66577345,0.012469067,-0.107167006,-0.9269337,-0.12180528,-0.1328586,-0.6659941,-0.17898744,-0.14795975,-0.46917862,-0.18659212,0.028307656,-0.6211758,-0.029594684,0.02081033,-0.86070997,-0.16715987,-0.026302293,-0.58774865,-0.16360427,-0.051956005,-0.39655414,-0.121582955,0.15975739,-0.5467634,-0.07369974,0.13653679,-0.7202531,-0.16829036,0.083469495,-0.5403659,-0.15867893,0.05182681,-0.39712268,-0.12474948,A
0.0,0.0,0.0,-0.2390116,-0.18701647,-0.035753895,-0.37462488,-0.44520777,-0.04694538,-0.4036812,-0.7083853,-0.07072716,-0.46928653,-0.8789628,-0.08481978,-0.25012708,-0.6767766,0.032219347,-0.25071982,-0.91291064,-0.08498267,-0.24945615,-0.72455364,-0.16332977,-0.26088315,-0.547375,-0.19657403,-0.10201744,-0.6634078,0.008103613,-0.10820798,-0.9301023,-0.12944573,-0.13297977,-0.6709219,-0.18780787,-0.14905503,-0.47156996,-0.19557832,0.029301042,-0.62261367,-0.03307814,0.022194343,-0.87135124,-0.17287311,-0.025785912,-0.6000492,-0.17082444,-0.05343594,-0.4031737,-0.12932701,0.1618612,-0.55254704,-0.076762706,0.13469069,-0.7337283,-0.17313953,0.083456576,-0.5533324,-0.16504619,0.05205102,-0.4035482,-0.13181919,A
0.0,0.0,0.0,-0.23021658,-0.17793432,-0.038631346,-0.36814153,-0.44271785,-0.048734058,-0.39865747,-0.7091933,-0.06964484,-0.46233517,-0.88301015,-0.0808656,-0.2420322,-0.6786672,0.01849891,-0.24200018,-0.9228684,-0.09370922,-0.23953833,-0.7354084,-0.16460945,-0.2505464,-0.5558652,-0.1932289,-0.094571695,-0.6691323,-0.0030335619,-0.09562053,-0.9376229,-0.13619472,-0.11869572,-0.6785892,-0.1874601,-0.13702333,-0.4753593,-0.19058695,0.036326077,-0.62888026,-0.040785886,0.03326022,-0.87308455,-0.17631906,-0.015899226,-0.60253155,-0.1721765,-0.048255153,-0.40246305,-0.13043909,0.16753596,-0.5567036,-0.081237346,0.14553578,-0.73106635,-0.17695746,0.094759464,-0.5531592,-0.170043,0.060671166,-0.4037768,-0.13814202,A
