feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,label
0.0,0.0,0.0,0.1974148,-0.28181472,0.2426176,0.26815647,-0.45358208,0.30233932,0.351654,-0.6078207,0.27891195,0.37537605,-0.80963385,0.2448002,-0.12708908,-0.6659233,0.40716094,0.012002612,-0.90184504,0.42475778,0.17364815,-0.88696146,0.38375795,0.2704793,-0.7969916,0.35510042,-0.16323268,-0.6641734,0.23182097,-0.011038046,-0.97278327,0.22696808,0.18608509,-0.9259278,0.15885143,0.30311707,-0.8009722,0.115654215,-0.16274665,-0.67765003,0.054395255,-0.01812449,-0.98733455,0.06624293,0.17299497,-0.9417287,0.051500324,0.26220864,-0.8233227,0.03868425,-0.12922896,-0.7072258,-0.11203314,-0.013665542,-0.9819354,-0.07971946,0.12546997,-0.9906005,-0.054478746,0.20649233,-0.9241161,-0.042980015,0
0.0,0.0,0.0,0.18415816,-0.2859803,0.25258297,0.2438012,-0.4557705,0.31322142,0.3231455,-0.60291374,0.2884041,0.34467673,-0.7936298,0.2524626,-0.11770057,-0.67208815,0.4140081,-0.0007667453,-0.9040139,0.42750254,0.14714316,-0.903601,0.376299,0.23211831,-0.8241132,0.3398937,-0.15482001,-0.6596255,0.23279303,-0.012595951,-0.9700845,0.2307808,0.1653908,-0.9282263,0.15669826,0.26884738,-0.8064058,0.107745856,-0.15653154,-0.66122514,0.05101066,-0.023407502,-0.9677039,0.07268932,0.15563841,-0.9285888,0.06067373,0.24200703,-0.8164508,0.045442086,-0.12406792,-0.6683422,-0.119704284,0.011985284,-0.89809364,-0.07270599,0.15310425,-0.89009494,-0.0377744,0.23372044,-0.8178988,-0.022765644,0
0.0,0.0,0.0,0.18549098,-0.28315338,0.24776042,0.24926539,-0.44738567,0.30266973,0.33067742,-0.59487677,0.27489772,0.35503355,-0.7885381,0.23642302,-0.12594798,-0.6739922,0.38493308,0.0075977608,-0.90128505,0.40316904,0.16051333,-0.8855957,0.36260763,0.24726672,-0.8011643,0.33332178,-0.16267034,-0.6671082,0.20989156,-0.008477539,-0.9761681,0.21685003,0.17165345,-0.92807174,0.16077237,0.27514198,-0.80763984,0.122551434,-0.1587213,-0.67236096,0.03563173,-0.017202932,-0.98962635,0.06536557,0.15993871,-0.9403129,0.065745,0.2431328,-0.81946176,0.057114348,-0.11750804,-0.6886285,-0.1274532,0.013441175,-0.9378056,-0.07666844,0.15018691,-0.92495346,-0.03632839,0.22707164,-0.8397558,-0.01761553,0
0.0,0.0,0.0,0.1743728,-0.09879015,-0.2869882,0.27638128,-0.2802402,-0.4275336,0.35318813,-0.46391928,-0.47932824,0.37504977,-0.6916009,-0.5027253,-0.09893688,-0.4910455,-0.5480381,0.05435402,-0.7750706,-0.6106145,0.22683994,-0.7600178,-0.5687202,0.30773208,-0.6754008,-0.5196609,-0.15801565,-0.53910995,-0.3943259,0.019982515,-0.87486446,-0.48395547,0.20598479,-0.8435619,-0.45655322,0.2936983,-0.7373409,-0.42304015,-0.15095682,-0.5878986,-0.23415844,0.009749408,-0.8680958,-0.29483277,0.1742915,-0.8245845,-0.28128442,0.25392073,-0.74772257,-0.26516622,-0.13598238,-0.640977,-0.08876294,-0.009001183,-0.8377991,-0.14466283,0.11318651,-0.8290107,-0.16517264,0.19439311,-0.7809833,-0.17063758,0
0.0,0.0,0.0,0.18014005,-0.106204234,-0.2755134,0.2781599,-0.29619828,-0.4040993,0.36418492,-0.5008572,-0.45518672,0.374218,-0.7335089,-0.47978207,-0.109786965,-0.52856904,-0.45086345,0.06625164,-0.8001265,-0.52431995,0.24725005,-0.7755641,-0.517233,0.32632968,-0.6840843,-0.49163926,-0.17075862,-0.57327515,-0.30763698,0.018787267,-0.9132698,-0.40692163,0.2172998,-0.87002784,-0.4184571,0.3060557,-0.7457831,-0.410589,-0.16922118,-0.6180742,-0.1629982,-0.0049977456,-0.9278056,-0.2298796,0.1711448,-0.8836337,-0.23979361,0.25038347,-0.78823113,-0.23726879,-0.16158697,-0.66453844,-0.033617944,-0.028323164,-0.8918566,-0.09028855,0.10678912,-0.8883406,-0.116599366,0.19153416,-0.83231056,-0.12603226,0
0.0,0.0,0.0,0.17348449,-0.124945804,-0.25978658,0.2668628,-0.31809396,-0.3828866,0.352579,-0.51871306,-0.4337141,0.37207296,-0.75340945,-0.45880553,-0.13139406,-0.51757115,-0.4332164,0.0026158467,-0.8299747,-0.5158115,0.18426685,-0.8149252,-0.5162001,0.28618214,-0.72880405,-0.49592835,-0.17884281,-0.5664185,-0.3013476,-0.020301722,-0.90486187,-0.41174254,0.17980495,-0.88529205,-0.42886847,0.2922056,-0.78563637,-0.42430303,-0.16762581,-0.6179167,-0.16979487,-0.021868302,-0.91419226,-0.2495136,0.15676673,-0.8859526,-0.2643351,0.25883526,-0.8077918,-0.26314804,-0.1515015,-0.6784493,-0.052981615,-0.02930473,-0.88898563,-0.11816577,0.10194131,-0.8894326,-0.14754064,0.1974494,-0.8434924,-0.15791787,0
0.0,0.0,0.0,0.18842219,-0.15107554,-0.18344477,0.29186645,-0.3531154,-0.2672849,0.38508284,-0.56908894,-0.3086353,0.3879998,-0.8094639,-0.32850713,-0.12689126,-0.55972856,-0.211744,0.02344127,-0.86239964,-0.2717139,0.1961728,-0.86775315,-0.29396147,0.28609258,-0.794044,-0.29137275,-0.1966525,-0.60120875,-0.12347536,-0.016063591,-0.9699823,-0.20612435,0.19067389,-0.9459444,-0.2491416,0.2992919,-0.82577103,-0.260236,-0.20373604,-0.6484935,-0.041308526,-0.03505372,-0.9947052,-0.09660691,0.15702271,-0.96718943,-0.1206314,0.252065,-0.87100106,-0.12316141,-0.19369575,-0.6995812,0.02882835,-0.048463486,-0.9585718,-0.010136188,0.09984086,-0.9746607,-0.029307652,0.19412667,-0.92660105,-0.032085605,0
0.0,0.0,0.0,0.18696941,-0.14487422,-0.22871767,0.28379792,-0.34260312,-0.33851764,0.3712836,-0.54722977,-0.39125708,0.3754772,-0.78031254,-0.41910428,-0.11617163,-0.55338025,-0.32345453,0.031508688,-0.8642158,-0.3919322,0.21191965,-0.83827126,-0.39784548,0.29335424,-0.7431282,-0.381011,-0.18234819,-0.5801108,-0.21227486,-0.018427778,-0.9519444,-0.30571607,0.18813913,-0.9139756,-0.3322767,0.28847718,-0.7885623,-0.33209634,-0.18541257,-0.61040556,-0.10422368,-0.030134303,-0.94296545,-0.16831066,0.15553547,-0.90658516,-0.18126729,0.24122372,-0.8117962,-0.17709251,-0.17372541,-0.64720005,-0.01043827,-0.03350413,-0.8905465,-0.05757084,0.10847946,-0.8899879,-0.07353854,0.19232881,-0.83259815,-0.07446596,0
0.0,0.0,0.0,0.19372268,-0.15569669,-0.19064312,0.2977331,-0.34161827,-0.28861812,0.39121765,-0.539383,-0.33585918,0.3932703,-0.7814433,-0.36274216,-0.12383137,-0.56361413,-0.29333562,0.04168919,-0.8500217,-0.34336495,0.22177646,-0.83927774,-0.34045625,0.3056775,-0.7554401,-0.3219326,-0.18769093,-0.5985751,-0.2024522,7.190802e-06,-0.9534074,-0.28103894,0.20557661,-0.9151506,-0.30443177,0.30602843,-0.78842264,-0.30605593,-0.18268202,-0.64909613,-0.11183576,-0.029836282,-0.9867619,-0.15940738,0.1602908,-0.94888175,-0.17080872,0.251373,-0.8505445,-0.17118035,-0.16253544,-0.7098453,-0.032623876,-0.041831158,-0.97467595,-0.06845973,0.09170081,-0.98527795,-0.08335015,0.17781518,-0.9330208,-0.087065406,0
0.0,0.0,0.0,0.180876,-0.15100704,-0.16989563,0.28348765,-0.35810038,-0.2445347,0.3750527,-0.5730604,-0.27742264,0.37907392,-0.8007974,-0.2884916,-0.1339111,-0.5726372,-0.20676404,0.039773807,-0.86407137,-0.26079577,0.21075459,-0.8518303,-0.27368253,0.2998471,-0.77333444,-0.26630726,-0.19265012,-0.6159345,-0.12408608,0.000250949,-0.97073656,-0.20560515,0.19778274,-0.928675,-0.24171123,0.29935905,-0.8048113,-0.2486156,-0.19049859,-0.652259,-0.045018923,-0.035702813,-0.99441046,-0.099364035,0.14534202,-0.96939504,-0.115632415,0.23650436,-0.86816686,-0.113205574,-0.17094484,-0.6828022,0.022969726,-0.05883971,-0.96412945,-0.015453638,0.073173515,-0.9843417,-0.028490191,0.16152562,-0.9289914,-0.026512714,0
